Module,Lesson,Step number,Step title,Template Type,What is the rationale for this step,Content Outline
1,1,1,Understanding Physical Fitness,Article,Understanding physical fitness provides students with foundational knowledge about the components of fitness and their importance for overall health. This step helps students recognize how physical activity contributes to their wellbeing and establishes a framework for the entire course.,"- Demonstrate simple fitness tests to do at home: push-ups, sit-and-reach, sit-ups, wall-sit
- Provide step-by-step instructions for each fitness test
- Explain how to track and interpret your fitness test results
- Emphasize that everyone starts at different fitness levels
- Encourage the use of a fitness journal to monitor progress"
1,1,2,Components of Fitness,Article,Students need to understand the different components of fitness to develop balanced workout routines. This step breaks down complex physiological concepts into accessible information that middle school students can apply to their own fitness activities.,"- Cardiovascular endurance: heart and lungs' ability to deliver oxygen
- Muscular strength: maximum force muscles can generate
- Muscular endurance: muscles' ability to work for extended periods
- Flexibility: range of motion around joints
- Body composition: ratio of fat to lean tissue in the body
- Provide examples of activities that develop each fitness component"
1,2,1,Exercise Safety at Home,Article,"Creating a safe exercise environment is essential for preventing injuries and ensuring effective workouts. This step provides practical guidance on setting up appropriate spaces for physical activity at home, which supports students in developing responsible fitness habits.","- Creating a safe workout space (clearing area, proper footwear, etc.)
- Basic warm-up and cool-down routines with step-by-step instructions
- Warning signs to stop exercising (dizziness, pain, trouble breathing)
- When and how to ask for help from an adult
- Proper clothing and hydration tips"
1,3,1,Setting SMART Fitness Goals,Article,"Setting SMART fitness goals supports students in developing self-awareness, self-regulation, and goal-setting skills essential for lifelong physical activity. This step enables students to translate their fitness aspirations into actionable, measurable plans, fostering intrinsic motivation and a growth mindset towards personal wellness.","- What SMART means:
- Specific - exactly what you want to achieve
- Measurable - how you'll track progress
- Achievable - realistic for your current fitness level
- Relevant - matters to you personally
- Time-bound - has a deadline
- Examples of good fitness goals for middle schoolers
- Creating your own SMART goals worksheet"
1,4,1,Self-Assessment Techniques,Article,Self-assessment techniques empower students to monitor their own fitness progress and take ownership of their physical development. These practical assessment methods provide baseline measurements that students can use to set realistic goals and track improvements over time.,"- Simple fitness tests you can do at home:
- Modified push-up test (step-by-step instructions)
- Sit-and-reach test for flexibility
- One-minute sit-up test
- Wall-sit endurance test
- How to track your results using a fitness journal
- Understanding that everyone starts at different levels"
2,1,1,Locomotor Movements,Article,"Mastering fundamental locomotor movements is essential for developing overall physical literacy and laying the foundation for more complex motor skills. Practicing these basic movement patterns in a safe and structured environment helps students build body awareness, coordination, and the confidence to engage in physical activity throughout their lives.","- Explain how the heart functions as a muscle and how it responds to exercise
- Discuss the benefits of cardio exercise, including a stronger heart, more energy, better sleep, and improved mood
- Highlight the importance of maintaining a healthy body weight through regular physical activity
- Provide recommendations from health experts on the appropriate frequency of cardio exercise for kids your age
- Encourage a positive attitude towards developing a lifelong habit of cardiovascular fitness"
2,2,1,Non-Locomotor Movements,Article,"Non-locomotor movements develop body awareness, balance, and coordination while staying in one place. This step builds upon locomotor skills by introducing movements that focus on control and stability, which are essential for developing comprehensive physical literacy and movement confidence.","- Define non-locomotor movements as movements performed while staying in one place
- Introduce basic non-locomotor skills: bending, stretching, twisting, turning, pushing, pulling
- Demonstrate proper technique for each non-locomotor movement
- Explain how these movements contribute to overall body control and coordination
- Provide examples of how these movements are used in sports and daily activities"
2,3,1,Body Awareness and Spatial Concepts,Article,"Body awareness and spatial concepts are fundamental to safe and effective movement. This step helps students understand how their bodies relate to the space around them, developing the spatial intelligence necessary for physical activities, sports, and navigating everyday environments.","- Understanding personal space vs. general space
- Directional movements (forward, backward, up, down, sideways)
- Levels of movement (high, medium, low)
- Body shapes (wide, narrow, curved, twisted)
- Relationship between body parts during movement"
2,4,1,Balance and Coordination,Article,Balance and coordination are essential physical skills that support all types of movement and physical activity. This activity-based step allows students to practice and develop these fundamental skills through engaging exercises that can be performed in limited space with minimal equipment.,"- What is balance? (ability to control body position)
- Static balance activities (holding positions without moving)
- Dynamic balance activities (maintaining balance while moving)
- Coordination games and challenges for different skill levels
- Improving balance through regular practice"
3,1,1,Heart Health Basics,Article,"This step on heart health basics provides a foundational understanding of cardiovascular function and the benefits of regular physical activity. It supports learning outcomes related to developing health literacy and promoting lifelong fitness habits. By introducing key concepts in an age-appropriate manner, this lesson lays the groundwork for students to make informed choices about their personal wellness.","- How your heart works as a muscle (simple explanation)
- What happens to your heart during exercise
- Benefits of cardio exercise:
- Stronger heart muscle
- More energy for daily activities
- Better sleep
- Improved mood
- Healthier body weight
- How often kids your age should do cardio (recommendations from health experts)"
3,2,1,Measuring Exercise Intensity,Article,"Measuring exercise intensity is a critical step in this lesson, as it supports learners in understanding how to monitor their cardiovascular effort and ensure they are working within a safe and effective training zone. This knowledge empowers learners to take an active role in their fitness development and make informed decisions about their exercise regimen to achieve their health and performance goals.","- Understand the benefits of bodyweight training
- Perform basic exercises for each major muscle group
- Maintain proper form to avoid common mistakes
- Modify exercises to accommodate different fitness levels"
3,3,1,Home-Based Cardio Activities,Article,"This step provides students with a variety of accessible, equipment-free and low-cost cardio activities they can perform at home, supporting the development of cardiovascular fitness and promoting physical activity engagement. By offering a range of options adaptable to small spaces, this step empowers students to integrate regular exercise into their daily routines, aligning with broader educational objectives of fostering lifelong health and wellness.","- No-equipment cardio activities for small spaces:
- Jumping jacks
- High knees
- Butt kicks
- Mountain climbers
- Jump rope (with or without actual rope)
- Modifying activities for different fitness levels
- Creating simple cardio circuits
- Making cardio fun with music and challenges"
3,4,1,Tracking and Reflecting,Article,"Tracking and reflecting on cardio activities helps students develop self-monitoring skills and recognize patterns in their exercise habits. This step supports the development of metacognitive skills as students learn to evaluate their progress, identify challenges, and adjust their approach to cardiovascular fitness.","- Setting up a simple cardio log
- Recording important information:
- Type of activity
- Time spent exercising
- Intensity level (1-5)
- How you felt during and after
- Using your log to set new goals"
4,1,1,Understanding Your Muscles,Article,"Understanding the major muscle groups and how they work in pairs is essential for learners to develop a foundational knowledge of human anatomy and physiology. This step lays the groundwork for students to apply this understanding to improving strength, flexibility, and overall physical function in their daily lives, aligning with the broader objectives of the Strength & Flexibility module.","- Major muscle groups in simple terms:
- Arms (biceps and triceps)
- Shoulders (deltoids)
- Chest (pectorals)
- Back (latissimus dorsi or ""lats"")
- Core (abdominals and lower back)
- Legs (quadriceps, hamstrings, and calves)
- How muscles work in pairs (when one contracts, the other relaxes)
- How muscles connect to everyday movements and activities
- The difference between muscle strength and muscle endurance"
4,2,1,Bodyweight Exercises,Article,"Bodyweight exercises provide an accessible and effective way for learners to develop muscular strength, endurance, and flexibility without the need for specialized equipment. This step supports learners in understanding the biomechanical principles behind bodyweight training and mastering proper technique for a variety of foundational exercises, which lays the groundwork for a well-rounded fitness program and promotes long-term physical health and wellness.","- Why bodyweight training works (uses your own weight as resistance)
- Basic exercises for each muscle group:
- Arms: Modified push-ups, chair dips
- Shoulders: Arm circles, wall push-ups
- Chest: Standard or knee push-ups
- Back: Superman holds, seated rows with household items
- Core: Planks, curl-ups, bird-dogs
- Legs: Squats, lunges, calf raises
- Proper form and common mistakes to avoid
- Modifications for different fitness levels"
4,3,1,Flexibility Training,Article,"Flexibility training is a crucial component of this module, as it supports the development of range of motion, injury prevention, and overall physical well-being. By covering the types of stretching, safe guidelines, and key stretches, this step equips learners with the knowledge and skills to effectively incorporate flexibility into their fitness routines, aligning with the broader objectives of improving strength, mobility, and overall physical health.","- Introduce the MyPlate model for balanced nutrition
- Suggest pre-workout snack ideas to fuel physical activity
- Recommend post-workout refueling options for recovery
- Explain the basics of reading and understanding food labels
- Identify healthy snack choices that support an active lifestyle"
4,4,1,Creating Balanced Workouts,Article,"Creating balanced workouts teaches students how to structure effective exercise sessions that address all fitness components. This step synthesizes knowledge from previous lessons and helps students develop the skills to design personalized routines that are safe, effective, and sustainable for long-term fitness development.","- Components of a complete workout:
- Warm-up (3-5 minutes)
- Strength exercises (10-15 minutes)
- Flexibility exercises (5-10 minutes)
- Cool-down (2-3 minutes)
- Sample workout routines for beginners
- How to track sets and repetitions
- Signs that an exercise is working"
5,1,1,Food as Fuel,Article,"This step introduces the fundamental concept of food as fuel for the body, highlighting the key nutrients and their roles in providing energy, building and repairing muscles, and supporting physical activity. By understanding how the body utilizes different food sources, learners can make informed choices to support their overall health and athletic performance, aligning with broader educational objectives related to nutrition, wellness, and active lifestyles.","- How your body uses food for energy
- Three main nutrients and what they do:
- Carbohydrates: Quick energy for activities (grains, fruits, vegetables)
- Proteins: Build and repair muscles (meat, beans, dairy)
- Fats: Long-lasting energy and protection (oils, nuts, avocados)
- Balanced meals for active kids
- Timing of meals and snacks around physical activity
- How different foods affect how you feel during exercise"
5,2,1,Smart Hydration,Article,"This step on smart hydration supports learners in understanding the importance of water for bodily functions, recognizing signs of dehydration, and developing strategies for maintaining proper hydration levels. By addressing the physiological and practical aspects of hydration, this step aligns with broader educational objectives of promoting health literacy and self-care skills.","- Why water is essential for your body
- Signs of dehydration:
- Thirst
- Dry mouth
- Headache
- Feeling tired or dizzy
- Dark yellow urine
- How much water you need each day
- When to drink water (before, during, and after activity)
- Hydration tips for hot weather"
5,3,1,Healthy Food Choices,Article,"This step supports learners in making informed, healthy food choices to fuel their bodies before and after physical activity. It aligns with broader educational objectives to develop nutrition literacy and empower students to adopt sustainable healthy eating habits that support overall wellbeing.","- MyPlate model simplified (fruits, vegetables, grains, protein, dairy)
- Pre-workout snack ideas:
- Banana with peanut butter
- Apple slices and cheese
- Yogurt with berries
- Whole grain crackers
- Post-workout refueling options
- Reading food labels basics
- Choosing snacks that actually help your body"
5,4,1,Nutrition Analysis and Planning,Article,"Nutrition analysis and planning helps students develop critical thinking skills as they evaluate their own eating patterns. This activity-based step encourages self-reflection and practical application of nutrition concepts, supporting students in making incremental improvements to their dietary habits.","- Recognize common challenges for middle school students:
- Limited time due to homework
- Lack of equipment or space
- Weather restrictions
- Lack of motivation
- Develop creative solutions to address each barrier
- Integrate exercise into your daily routine and schedule
- Recommit to your goals when you miss planned workouts"
6,1,1,The FITT Principle,Article,"The FITT Principle provides a structured framework for designing effective exercise programs, which supports students in developing the knowledge and skills to create personalized fitness plans. By understanding the key components of frequency, intensity, time, and type, students can tailor their workouts to achieve specific health and fitness goals, aligning with broader educational objectives around promoting lifelong physical activity and wellness.","- What FITT stands for:
- Frequency: How often you exercise
- Intensity: How hard you work during exercise
- Time: How long each session lasts
- Type: What kind of exercise you do
- How to apply FITT to different fitness goals
- Examples of FITT plans for middle school students
- How to adjust your FITT plan as you improve"
6,2,1,Designing Your Routine,Article,"Designing a balanced weekly fitness routine supports learners in developing self-regulation skills, achieving sustainable behavior change, and maintaining long-term exercise adherence. By guiding learners through the process of setting realistic goals, structuring varied activities, and adapting to available resources, this step empowers them to create personalized, engaging fitness plans that can be integrated into their lifestyles.","- Setting realistic weekly goals
- Balancing different types of activities:
- Cardio days
- Strength days
- Flexibility/recovery days
- Fun activity days
- Sample weekly schedules for beginners
- Creating workouts that use available space and equipment
- Building variety to keep exercise interesting"
6,3,1,Tracking Your Progress,Article,"Tracking progress is a crucial step in achieving fitness goals, as it provides tangible feedback on improvements and helps maintain motivation. This step supports learners in developing self-awareness, self-monitoring, and goal-setting skills, which are essential for long-term behavior change and the development of healthy lifestyle habits.","- Simple tracking methods:
- Paper fitness journal
- Calendar tracking
- Activity log with ratings
- Before and after fitness tests
- What to record after each workout
- How to tell if you're improving
- Celebrating small wins and milestones"
6,4,1,Overcoming Barriers,Article,"Identifying and addressing common barriers to physical activity helps students develop problem-solving skills and resilience in their fitness journey. This step prepares students to maintain their exercise habits despite challenges, supporting the development of long-term physical activity adherence.","- Common challenges for middle school students:
- Limited time due to homework
- Lack of equipment
- Limited space
- Weather restrictions
- Lack of motivation
- Creative solutions for each barrier
- Building exercise into your daily routine
- Getting back on track when you miss workouts"
7,1,1,Target Activity Basics,Article,"Target activities develop precision, focus, and hand-eye coordination that transfer to many sports and daily activities. This step introduces students to the fundamental concepts and benefits of target-based activities that can be practiced in limited spaces with simple equipment.","- Explain principles of game modification: playing area, rules, equipment
- Provide step-by-step examples of adapted games: mini-basketball, hallway bowling, sock volleyball
- Highlight the benefits of adapting games for indoor play
- Discuss safety considerations for indoor game adaptations
- Emphasize the importance of creativity in modifying traditional games"
7,2,1,Throwing Skills,Article,"Developing proper throwing technique is essential for building fundamental motor skills and coordination. Practicing different types of throws and progressively challenging targets supports the development of accuracy, control, and confidence in physical activity. These skills contribute to overall physical literacy and the ability to participate in a variety of sports and recreational activities.","- Proper throwing form:
- Grip and finger placement
- Stance and body position
- Arm motion and follow-through
- Weight transfer
- Different types of throws:
- Overhand
- Underhand
- Sidearm
- Creating targets from household items
- Progressive challenges to improve accuracy"
7,3,1,Rolling and Pitching Skills,Article,"This step supports the development of fundamental rolling and pitching skills, which are essential for many sports and physical activities. By practicing with a variety of household items, learners can experiment with different techniques, control, and accuracy, laying the groundwork for more advanced skill development and game play. This aligns with broader objectives of cultivating physical literacy and promoting active, healthy lifestyles.","- Proper rolling technique for accuracy
- Underhand pitching basics
- Controlling speed and direction
- Household items that work for practice:
- Rolled up socks
- Small soft balls
- Bean bags
- Paper balls
- DIY targets using common household items"
7,4,1,Practice Routines for Small Spaces,Article,"Creating effective practice routines for small spaces teaches students how to adapt physical activities to their available environment. This step provides practical strategies for developing skills despite space limitations, supporting students in maintaining regular practice regardless of their circumstances.","- Creating a practice station in limited space
- 10-minute skill drills you can do daily
- Measuring and tracking improvement
- How to create skill challenges for yourself
- Adapting sports skills for indoor practice"
8,1,1,Adapting Traditional Games,Article,"Adapting traditional games allows students to engage in active, participatory learning that develops their problem-solving, creativity, and teamwork skills. By modifying game elements, students learn to make activities accessible and inclusive for all ability levels, supporting the broader educational objectives of promoting physical activity, social-emotional learning, and an appreciation for diverse abilities.","- Principles of game modification:
- Changing playing area size
- Simplifying rules
- Using alternative equipment
- Reducing number of players needed
- Step-by-step examples:
- Mini-basketball with waste paper basket
- Hallway bowling with water bottles
- Sock volleyball over a string
- Indoor obstacle courses
- Safety considerations for indoor play"
8,2,1,Creating Games with Household Items,Article,"Creating games with household items allows students to develop problem-solving, creativity, and critical thinking skills as they design and modify games to meet specific objectives. This hands-on activity reinforces broader educational goals of fostering active engagement, promoting physical activity, and encouraging collaborative learning.","- Introduce simple breathing techniques, such as belly breathing and box breathing
- Guide participants through a body scan and progressive muscle relaxation practice
- Demonstrate how to connect breath with movement for enhanced mindfulness
- Emphasize the benefits of these techniques for managing anxiety and worry
- Encourage regular practice of breathing and body awareness exercises"
8,3,1,Inclusive Game Design,Article,"Inclusive game design supports learners in developing empathy, problem-solving skills, and an understanding of accessibility considerations. By exploring adaptations and cooperative gameplay, students gain practical experience in creating inclusive recreational activities that cater to diverse needs and abilities, aligning with broader goals of fostering inclusive and equitable learning environments.","- Principles of inclusive game design:
- Multiple ways to participate
- Adaptable difficulty levels
- Cooperative rather than just competitive options
- Modifications for different abilities
- Examples of adaptations:
- Seated versions of standing games
- Visual cues for auditory instructions
- Simplified rules for complex games
- Creating games where different skills can shine"
8,4,1,Lifetime Recreation Activities,Article,"Introducing students to lifetime recreation activities helps them discover physical activities they can enjoy throughout their lives. This step supports the development of sustainable physical activity habits by emphasizing accessible, enjoyable activities that can be maintained across the lifespan.","- Activities you can enjoy throughout life:
- Walking/jogging programs
- Backyard games (badminton, cornhole, etc.)
- Dance routines
- Yoga and stretching activities
- Benefits of recreational activities
- Finding activities that match your interests
- How to get family members involved"
9,1,1,Movement and Stress Connection,Article,"This step supports learners in understanding the physiological and psychological connections between movement and stress management. By exploring how stress manifests in the body and how exercise can mitigate those effects, learners develop self-awareness and practical strategies for regulating their stress levels. This aligns with the broader objectives of fostering mindfulness, emotional intelligence, and self-care skills for holistic well-being.","- How stress affects your body:
- Tense muscles
- Racing heart
- Faster breathing
- Trouble concentrating
- How exercise helps reduce stress:
- Releases feel-good brain chemicals
- Burns excess energy
- Improves sleep quality
- Provides distraction from worries
- Different types of activities for different feelings
- Recognizing your own stress signals"
9,2,1,Breathing and Body Awareness,Article,"Practicing breathing and body awareness techniques helps students develop self-regulation skills, improve focus and concentration, and manage stress and anxiety. These practices support broader educational objectives of fostering student well-being, enhancing academic performance, and promoting lifelong habits for mental health and resilience.","- Simple breathing techniques:
- Belly breathing (diaphragmatic breathing)
- Box breathing (inhale, hold, exhale, hold)
- Cooling breath (inhale through nose, exhale through mouth)
- Body scan practice (noticing tension from head to toe)
- Progressive muscle relaxation (tense and release)
- Connecting breath to movement
- Using these techniques before tests or when worried"
9,3,1,Mindful Movement Activities,Article,"Engaging in mindful movement activities supports the development of present-moment awareness, self-regulation, and embodied learning. By directing attention to the sensations and experiences of the body in motion, students cultivate the ability to observe their internal states with greater clarity and respond with intention, which are key skills for effective stress management.","- Identify diverse sources of physical activity opportunities, such as school programs, community centers, and online resources
- Explain how to find information about local fitness programs and events
- Emphasize the availability of low-cost and no-cost activity options in the community
- Suggest virtual fitness alternatives when in-person activities are not accessible"
9,4,1,Creating Personal Relaxation Routines,Article,"Creating personal relaxation routines helps students develop customized stress management strategies that work for their unique needs. This step synthesizes previous learning about movement, breathing, and mindfulness into practical applications that students can implement independently in various settings.","- Building a stress-management toolkit:
- Quick stress-busters (1-2 minutes)
- Short relaxation breaks (5-10 minutes)
- Longer calming practices (15-20 minutes)
- When to use different techniques
- Combining movement with breathing and awareness
- Setting up a calming space at home
- Using music, nature, or silence to enhance relaxation"
10,1,1,Lifetime Fitness Vision,Article,Developing a lifetime fitness vision helps students connect their current physical activity choices to long-term health and wellness goals. This step encourages forward thinking and helps students understand how consistent physical activity contributes to quality of life across the lifespan.,"- Why staying active throughout life matters
- What happens to your body when you stay active vs. inactive
- Setting long-term vision (middle school, high school, and beyond)
- Different types of fitness goals:
- Performance goals (what you can do)
- Process goals (how often you participate)
- Health goals (how you feel and function)
- Making goals flexible to grow with you"
10,2,1,Finding Your Fitness Favorites,Article,"Exploring a variety of fitness activities allows learners to discover enjoyable and sustainable physical pursuits that align with their personal interests and lifestyle. This step supports the development of self-awareness, intrinsic motivation, and the ability to make informed choices about lifelong physical activity engagement, which are key objectives of a comprehensive lifetime fitness curriculum.","- Exploring different activity categories:
- Individual activities (running, swimming, cycling)
- Partner activities (tennis, badminton)
- Team sports (basketball, soccer, volleyball)
- Adventure activities (hiking, climbing)
- Mindful movement (yoga, tai chi)
- Matching activities to your personality and preferences
- Trying new activities with an open mind
- Physical activities that double as hobbies or social time"
10,3,1,Community Fitness Resources,Article,"This step supports learners in identifying a variety of accessible community-based physical activity resources, which aligns with the broader objectives of promoting lifelong fitness and empowering individuals to take an active role in their health and wellness. By exploring low-cost and virtual options, learners can develop the knowledge and skills to independently access appropriate physical activity opportunities within their local context.","- Where to find physical activity opportunities:
- School programs and intramurals
- Community centers and parks
- Recreation leagues
- Online resources and videos
- Local events (fun runs, community walks)
- Low-cost and no-cost activity options
- How to find information about local programs
- Virtual options when in-person activities aren't available"
10,4,1,Motivation Strategies,Article,"Understanding motivation strategies helps students maintain physical activity habits when faced with challenges or decreased interest. This step provides practical tools for sustaining exercise routines over time, supporting the development of self-regulation skills and intrinsic motivation for lifelong physical activity.","- Distinguish internal and external motivation types
- Develop sustainable habits through gradual progression
- Leverage social support and visual cues
- Track progress to maintain motivation
- Regain momentum after breaks or setbacks"
